#SetID	ThemeGroup	Theme	SubTheme	Year	Name	Pieces	USRetailPrice
22667	Vintage	Samsonite	Basic Set	1965	Gears	43	4.95
22683	Vintage	Samsonite	Basic Set	1967	Promotional Set No. 1 (Kraft Velveeta)	74	1
7465	Basic	Universal Building Set	{Unknown}	1973	Basic Set	107	0
7693	Vintage	Minitalia	{Unknown}	1970	Small house set	67	0
22697	Basic	System	Basic Set	1969	Set No 1 - Quaker/Life Cereal	301	5
9652	Vintage	Samsonite	Model Maker	1971	Mini-Wheel Model Maker No. 1 (Kraft Velveeta)	86	0
8415	Basic	Basic	{Unknown}	1981	Basic Souvenir Box	38	0
7694	Vintage	Minitalia	{Unknown}	1977	Small basic set	91	0
22668	Vintage	Samsonite	Basic Set	1965	4.5V Samsonite Gears Motor Set	3	4.95
22684	Vintage	Samsonite	Basic Set	1967	Promotional Set No. 2 (Kraft Velveeta)	141	2
7466	Basic	Universal Building Set	{Unknown}	1973	Basic Set	184	0
7695	Vintage	Minitalia	{Unknown}	1970	Medium house set	109	0
22698	Basic	System	Basic Set	1969	Set No 2 - Quaker/Life Cereal	159	2
25549	Vintage	Samsonite	Model Maker	1971	Mini-Wheel Model Maker No. 2 (Kraft Velveeta)	74	0
7696	Vintage	Minitalia	{Unknown}	1977	Medium basic set	128	0
22669	Vintage	Samsonite	Basic Set	1966	Master Mechanic Set	418	17.95
22685	Vintage	Samsonite	Basic Set	1967	Promotional Set No. 3 (Kraft Velveeta)	300	5
7467	Basic	Universal Building Set	{Unknown}	1973	Basic Set	184	0
7697	Vintage	Minitalia	{Unknown}	1970	Medium house set	158	0
22699	Basic	System	Basic Set	1969	Set No 3 - Quaker/Life Cereal	156	2
22724	Vintage	Samsonite	Model Maker	1971	Mini-Wheel Model Maker No. 3 (Kraft Velveeta)	65	2
22670	Vintage	Samsonite	Basic Set	1966	Master Builder Set	670	19.95
22686	Vintage	Samsonite	Basic Set	1967	Promotional Set No. 4 with Carrying Case (Kraft Velveeta)	321	10
7468	Basic	Universal Building Set	{Unknown}	1973	Basic Set	230	0
7698	Vintage	Minitalia	{Unknown}	1970	Large house set	233	0
22725	Vintage	Samsonite	Model Maker	1971	Mini-Wheel Model Maker Set 4 (Kraft Velveeta)	0	4.75
25534	Vintage	Samsonite	Model Maker	1970	Mini House and Vehicles	0	0
25348	Basic	System	Basic Set	1965	Basic Building Set in Cardboard	53	0
22687	Vintage	Samsonite	Basic Set	1967	Promotional Set No. 5 (Kraft Velveeta)	156	2
22677	Vintage	Samsonite	Basic Set	1967	Discovery Set	328	9.95
7469	Basic	Universal Building Set	{Unknown}	1973	Basic Set	349	7
7699	Vintage	Minitalia	{Unknown}	1971	Large house set	307	0
22726	Vintage	Samsonite	Model Maker	1971	Mini-Wheel Model Maker Set 5 (Kraft Velveeta)	2	6.75
22688	Vintage	Samsonite	Basic Set	1967	Promotional Set No. 6 (Kraft Velveeta)	101	2
7470	Basic	Universal Building Set	{Unknown}	1973	Basic Set	349	0
22727	Vintage	Samsonite	Basic set	1971	Promotional Basic Set No. 6 (Kraft Velveeta)	77	1
3761	Basic	Basic	{Unknown}	1978	Basic Building Set, 3+	64	3.5
7471	Basic	Universal Building Set	{Unknown}	1973	Basic Set	415	16
22715	Vintage	Samsonite	Basic set	1967	Promotional Set No. 7 Carrying Case (Kraft Velveeta)	1	3.75
